post_id,post_text,event_type,timestamp
39,Open mic night tonight at the campus cafe. Time to listen to some new talent.,other_event,04-09-2025 00:10
40,Open mic night tonight at the campus cafe. Time to listen to some new talent.,other_event,28-07-2025 04:31
41,"Our basketball team made it to the regional finals! Let's go, MIT!",sports_event,09-07-2025 19:01
42,The UI/UX design workshop was a game-changer. Finally understand wireframing.,workshop,08-08-2025 02:20
43,Ready for the live music concert tonight at the fest! 🎸 #MusicNight,cultural_fest,26-06-2025 22:51
44,The UI/UX design workshop was a game-changer. Finally understand wireframing.,workshop,20-08-2025 23:01
45,"Our basketball team made it to the regional finals! Let's go, MIT!",sports_event,27-06-2025 07:33
46,The annual swimming gala is next week. Time to hit the pool!,sports_event,04-08-2025 19:16
47,Super excited for the new 'Introduction to Quantum Computing' workshop next week!,workshop,19-07-2025 17:48
48,The food stalls at the cultural fest are a must-try! 🌮🍣 #Foodie,cultural_fest,18-08-2025 08:50
49,Just finished a fantastic workshop on ethical hacking. Feeling much more cyber-aware now.,workshop,04-08-2025 02:19
50,Just finished a fantastic workshop on ethical hacking. Feeling much more cyber-aware now.,workshop,06-08-2025 01:58
51,Feeling exhausted but happy after the hackathon. Learned so much in just 24 hours.,hackathon,10-08-2025 15:40
52,MIT's football team won the final! What a nail-biter of a match. ⚽,sports_event,09-09-2025 02:15
53,The annual job fair is happening today. Networking with some great companies!,other_event,10-07-2025 05:31
54,Another great robotics workshop. My line-follower bot is almost ready! 🤖,workshop,27-07-2025 17:59
55,Problem statements for the hackathon are out. Time to start brainstorming!,hackathon,06-08-2025 20:02
56,The annual swimming gala is next week. Time to hit the pool!,sports_event,22-08-2025 05:03
57,Soaking in the vibrant atmosphere at the cultural fest! The art and music are amazing. #CulturalFest,cultural_fest,10-08-2025 15:24
58,The annual swimming gala is next week. Time to hit the pool!,sports_event,06-09-2025 20:50
59,Cheering on our team at the cricket finals. The crowd is electric! 🏏,sports_event,12-09-2025 11:18
60,The hackathon is on! My team is fueled by pizza and coffee. 🍕☕,hackathon,07-07-2025 02:55
61,Feeling exhausted but happy after the hackathon. Learned so much in just 24 hours.,hackathon,10-08-2025 17:54
62,Pulling an all-nighter for the hackathon. Let's build something awesome! #CodeLife,hackathon,13-08-2025 19:21
63,Open mic night tonight at the campus cafe. Time to listen to some new talent.,other_event,10-09-2025 14:18
64,The annual job fair is happening today. Networking with some great companies!,other_event,25-06-2025 14:13
65,Open mic night tonight at the campus cafe. Time to listen to some new talent.,other_event,09-07-2025 21:07
66,The cultural parade was spectacular! So many beautiful traditional costumes.,cultural_fest,30-06-2025 20:45
67,Problem statements for the hackathon are out. Time to start brainstorming!,hackathon,01-08-2025 14:51
68,"Our basketball team made it to the regional finals! Let's go, MIT!",sports_event,28-08-2025 21:09
69,The annual job fair is happening today. Networking with some great companies!,other_event,01-08-2025 11:35
70,The hackathon is on! My team is fueled by pizza and coffee. 🍕☕,hackathon,29-08-2025 13:26
71,Just finished a fantastic workshop on ethical hacking. Feeling much more cyber-aware now.,workshop,03-09-2025 21:02
72,Learning Python with pandas and matplotlib at the data science workshop. So many possibilities! #DataScience,workshop,08-08-2025 11:37
73,Open mic night tonight at the campus cafe. Time to listen to some new talent.,other_event,15-09-2025 20:06
74,Cheering on our team at the cricket finals. The crowd is electric! 🏏,sports_event,26-08-2025 05:25
75,And the winners of the hackathon are announced! Congrats to all the participants.,hackathon,14-09-2025 11:51
76,"Closing ceremony tonight, what an incredible week it's been! #MITFest",cultural_fest,09-08-2025 01:07
77,Just finished a fantastic workshop on ethical hacking. Feeling much more cyber-aware now.,workshop,09-07-2025 05:59
78,Attending an AI and ML workshop today. The hands-on labs are so helpful.,workshop,16-08-2025 18:42
79,Feeling exhausted but happy after the hackathon. Learned so much in just 24 hours.,hackathon,14-09-2025 00:07
80,Cheering on our team at the cricket finals. The crowd is electric! 🏏,sports_event,21-08-2025 02:06
81,Soaking in the vibrant atmosphere at the cultural fest! The art and music are amazing. #CulturalFest,cultural_fest,11-07-2025 09:58
82,Attending an AI and ML workshop today. The hands-on labs are so helpful.,workshop,10-07-2025 14:21
83,It's Sports Day! Watching the track and field events now.,sports_event,22-08-2025 10:44
84,Feeling exhausted but happy after the hackathon. Learned so much in just 24 hours.,hackathon,04-07-2025 13:24
85,And the winners of the hackathon are announced! Congrats to all the participants.,hackathon,02-07-2025 04:11
86,Cheering on our team at the cricket finals. The crowd is electric! 🏏,sports_event,15-08-2025 03:46
87,MIT's football team won the final! What a nail-biter of a match. ⚽,sports_event,04-07-2025 08:55
88,Just finished a fantastic workshop on ethical hacking. Feeling much more cyber-aware now.,workshop,07-09-2025 03:09
89,The hackathon is on! My team is fueled by pizza and coffee. 🍕☕,hackathon,18-07-2025 10:45
90,"Our basketball team made it to the regional finals! Let's go, MIT!",sports_event,18-08-2025 19:05
91,The annual job fair is happening today. Networking with some great companies!,other_event,12-08-2025 20:39
92,Cheering on our team at the cricket finals. The crowd is electric! 🏏,sports_event,09-09-2025 19:17
93,MIT's football team won the final! What a nail-biter of a match. ⚽,sports_event,17-09-2025 01:52
94,It's Sports Day! Watching the track and field events now.,sports_event,29-06-2025 22:50
95,Feeling exhausted but happy after the hackathon. Learned so much in just 24 hours.,hackathon,31-08-2025 03:12
96,The food stalls at the cultural fest are a must-try! 🌮🍣 #Foodie,cultural_fest,21-07-2025 03:39
97,MIT's football team won the final! What a nail-biter of a match. ⚽,sports_event,08-09-2025 13:29
98,Super excited for the new 'Introduction to Quantum Computing' workshop next week!,workshop,27-06-2025 13:20
99,Soaking in the vibrant atmosphere at the cultural fest! The art and music are amazing. #CulturalFest,cultural_fest,01-07-2025 02:12
100,MIT's football team won the final! What a nail-biter of a match. ⚽,sports_event,03-09-2025 14:29
101,The hackathon is on! My team is fueled by pizza and coffee. 🍕☕,hackathon,03-08-2025 01:38
102,Day two of the Cultural Fest is in full swing! Loved the dance performances this morning.,cultural_fest,22-06-2025 10:42
103,MIT's football team won the final! What a nail-biter of a match. ⚽,sports_event,07-07-2025 14:14
104,"Our basketball team made it to the regional finals! Let's go, MIT!",sports_event,15-09-2025 08:53
105,The cultural parade was spectacular! So many beautiful traditional costumes.,cultural_fest,05-08-2025 21:34
106,"Closing ceremony tonight, what an incredible week it's been! #MITFest",cultural_fest,06-08-2025 20:58
107,Excited for the startup pitching competition. So many innovative ideas!,other_event,03-09-2025 05:11
108,"Closing ceremony tonight, what an incredible week it's been! #MITFest",cultural_fest,28-06-2025 17:51
109,The UI/UX design workshop was a game-changer. Finally understand wireframing.,workshop,14-07-2025 00:26
110,Soaking in the vibrant atmosphere at the cultural fest! The art and music are amazing. #CulturalFest,cultural_fest,29-06-2025 23:45
111,Pulling an all-nighter for the hackathon. Let's build something awesome! #CodeLife,hackathon,23-06-2025 09:31
112,Attending a guest lecture on space exploration today. Mind blown! 🚀,other_event,27-06-2025 04:35
113,Excited for the startup pitching competition. So many innovative ideas!,other_event,21-08-2025 06:56
114,And the winners of the hackathon are announced! Congrats to all the participants.,hackathon,31-07-2025 05:30
115,The cultural parade was spectacular! So many beautiful traditional costumes.,cultural_fest,06-07-2025 08:32
116,The annual job fair is happening today. Networking with some great companies!,other_event,22-07-2025 14:51
117,Attending an AI and ML workshop today. The hands-on labs are so helpful.,workshop,15-08-2025 09:47
118,And the winners of the hackathon are announced! Congrats to all the participants.,hackathon,03-08-2025 20:01
119,Feeling exhausted but happy after the hackathon. Learned so much in just 24 hours.,hackathon,21-07-2025 04:35
120,The cultural parade was spectacular! So many beautiful traditional costumes.,cultural_fest,23-07-2025 09:41
121,Pulling an all-nighter for the hackathon. Let's build something awesome! #CodeLife,hackathon,02-08-2025 10:51
122,The UI/UX design workshop was a game-changer. Finally understand wireframing.,workshop,19-07-2025 17:57
123,Feeling exhausted but happy after the hackathon. Learned so much in just 24 hours.,hackathon,25-07-2025 21:49
124,Problem statements for the hackathon are out. Time to start brainstorming!,hackathon,10-07-2025 11:13
125,"Our basketball team made it to the regional finals! Let's go, MIT!",sports_event,30-06-2025 17:50
126,The hackathon is on! My team is fueled by pizza and coffee. 🍕☕,hackathon,30-06-2025 04:46
127,Pulling an all-nighter for the hackathon. Let's build something awesome! #CodeLife,hackathon,12-07-2025 21:41
128,Excited for the startup pitching competition. So many innovative ideas!,other_event,27-07-2025 08:54
129,Attending an AI and ML workshop today. The hands-on labs are so helpful.,workshop,17-08-2025 13:17
130,MIT's football team won the final! What a nail-biter of a match. ⚽,sports_event,02-08-2025 05:50
131,Pulling an all-nighter for the hackathon. Let's build something awesome! #CodeLife,hackathon,03-09-2025 16:51
132,And the winners of the hackathon are announced! Congrats to all the participants.,hackathon,28-07-2025 02:49
133,Attending an AI and ML workshop today. The hands-on labs are so helpful.,workshop,31-08-2025 17:01
134,Super excited for the new 'Introduction to Quantum Computing' workshop next week!,workshop,28-07-2025 11:40
135,Another great robotics workshop. My line-follower bot is almost ready! 🤖,workshop,30-07-2025 01:22
136,"Closing ceremony tonight, what an incredible week it's been! #MITFest",cultural_fest,24-07-2025 15:20
137,Feeling exhausted but happy after the hackathon. Learned so much in just 24 hours.,hackathon,18-07-2025 16:03
138,Feeling exhausted but happy after the hackathon. Learned so much in just 24 hours.,hackathon,01-07-2025 07:57
139,Attending a guest lecture on space exploration today. Mind blown! 🚀,other_event,07-09-2025 17:11
140,The cultural parade was spectacular! So many beautiful traditional costumes.,cultural_fest,07-09-2025 05:45
141,Soaking in the vibrant atmosphere at the cultural fest! The art and music are amazing. #CulturalFest,cultural_fest,03-08-2025 19:01
142,It's Sports Day! Watching the track and field events now.,sports_event,20-07-2025 19:54
143,"Our basketball team made it to the regional finals! Let's go, MIT!",sports_event,17-09-2025 15:45
144,Pulling an all-nighter for the hackathon. Let's build something awesome! #CodeLife,hackathon,19-07-2025 13:55
145,MIT's football team won the final! What a nail-biter of a match. ⚽,sports_event,07-08-2025 12:48
146,Open mic night tonight at the campus cafe. Time to listen to some new talent.,other_event,16-08-2025 06:21
147,"Our basketball team made it to the regional finals! Let's go, MIT!",sports_event,10-07-2025 13:50
148,The annual job fair is happening today. Networking with some great companies!,other_event,14-07-2025 02:01
149,The annual swimming gala is next week. Time to hit the pool!,sports_event,29-06-2025 05:43
150,Cheering on our team at the cricket finals. The crowd is electric! 🏏,sports_event,08-09-2025 14:44
151,Learning Python with pandas and matplotlib at the data science workshop. So many possibilities! #DataScience,workshop,30-08-2025 10:10
152,Pulling an all-nighter for the hackathon. Let's build something awesome! #CodeLife,hackathon,07-08-2025 10:43
153,Soaking in the vibrant atmosphere at the cultural fest! The art and music are amazing. #CulturalFest,cultural_fest,30-08-2025 12:18
154,Cheering on our team at the cricket finals. The crowd is electric! 🏏,sports_event,15-08-2025 04:26
155,Went to the film festival. The short films were incredibly creative.,other_event,03-09-2025 18:21
156,Just finished a fantastic workshop on ethical hacking. Feeling much more cyber-aware now.,workshop,02-09-2025 02:27
157,Just finished a fantastic workshop on ethical hacking. Feeling much more cyber-aware now.,workshop,08-09-2025 02:52
158,The annual swimming gala is next week. Time to hit the pool!,sports_event,17-07-2025 07:49
159,The annual swimming gala is next week. Time to hit the pool!,sports_event,16-09-2025 15:15
160,Another great robotics workshop. My line-follower bot is almost ready! 🤖,workshop,18-07-2025 11:04
161,Pulling an all-nighter for the hackathon. Let's build something awesome! #CodeLife,hackathon,23-08-2025 09:43
162,Just finished a fantastic workshop on ethical hacking. Feeling much more cyber-aware now.,workshop,01-09-2025 06:51
163,Attending a guest lecture on space exploration today. Mind blown! 🚀,other_event,11-07-2025 22:34
164,Soaking in the vibrant atmosphere at the cultural fest! The art and music are amazing. #CulturalFest,cultural_fest,18-09-2025 01:52
165,Problem statements for the hackathon are out. Time to start brainstorming!,hackathon,27-06-2025 08:36
166,Super excited for the new 'Introduction to Quantum Computing' workshop next week!,workshop,12-08-2025 11:11
167,Just finished a fantastic workshop on ethical hacking. Feeling much more cyber-aware now.,workshop,23-08-2025 14:23
168,And the winners of the hackathon are announced! Congrats to all the participants.,hackathon,02-07-2025 21:03
169,Feeling exhausted but happy after the hackathon. Learned so much in just 24 hours.,hackathon,05-08-2025 20:58
170,Soaking in the vibrant atmosphere at the cultural fest! The art and music are amazing. #CulturalFest,cultural_fest,14-09-2025 10:08
171,And the winners of the hackathon are announced! Congrats to all the participants.,hackathon,30-06-2025 21:51
172,The UI/UX design workshop was a game-changer. Finally understand wireframing.,workshop,12-08-2025 10:23
173,And the winners of the hackathon are announced! Congrats to all the participants.,hackathon,06-08-2025 08:41
174,And the winners of the hackathon are announced! Congrats to all the participants.,hackathon,29-06-2025 04:14
175,Ready for the live music concert tonight at the fest! 🎸 #MusicNight,cultural_fest,25-07-2025 03:43
176,The cultural parade was spectacular! So many beautiful traditional costumes.,cultural_fest,27-08-2025 04:17
177,Learning Python with pandas and matplotlib at the data science workshop. So many possibilities! #DataScience,workshop,17-07-2025 14:00
178,Open mic night tonight at the campus cafe. Time to listen to some new talent.,other_event,07-08-2025 22:16
179,Another great robotics workshop. My line-follower bot is almost ready! 🤖,workshop,11-07-2025 11:30
180,Excited for the startup pitching competition. So many innovative ideas!,other_event,09-07-2025 03:05
181,The cultural parade was spectacular! So many beautiful traditional costumes.,cultural_fest,07-08-2025 04:22
182,The UI/UX design workshop was a game-changer. Finally understand wireframing.,workshop,11-08-2025 05:41
183,It's Sports Day! Watching the track and field events now.,sports_event,31-08-2025 17:43
184,The cultural parade was spectacular! So many beautiful traditional costumes.,cultural_fest,25-07-2025 18:03
185,Feeling exhausted but happy after the hackathon. Learned so much in just 24 hours.,hackathon,10-07-2025 04:16
186,MIT's football team won the final! What a nail-biter of a match. ⚽,sports_event,11-07-2025 00:12
187,Learning Python with pandas and matplotlib at the data science workshop. So many possibilities! #DataScience,workshop,07-07-2025 08:48
188,Another great robotics workshop. My line-follower bot is almost ready! 🤖,workshop,30-06-2025 03:53
189,Day two of the Cultural Fest is in full swing! Loved the dance performances this morning.,cultural_fest,27-08-2025 06:03
190,The annual job fair is happening today. Networking with some great companies!,other_event,05-09-2025 21:16
191,Soaking in the vibrant atmosphere at the cultural fest! The art and music are amazing. #CulturalFest,cultural_fest,01-09-2025 13:43
192,"Our basketball team made it to the regional finals! Let's go, MIT!",sports_event,26-07-2025 23:11
193,Ready for the live music concert tonight at the fest! 🎸 #MusicNight,cultural_fest,09-08-2025 22:09
194,And the winners of the hackathon are announced! Congrats to all the participants.,hackathon,03-08-2025 12:45
195,MIT's football team won the final! What a nail-biter of a match. ⚽,sports_event,07-07-2025 17:06
196,Went to the film festival. The short films were incredibly creative.,other_event,15-07-2025 18:08
197,Super excited for the new 'Introduction to Quantum Computing' workshop next week!,workshop,15-07-2025 20:30
198,The hackathon is on! My team is fueled by pizza and coffee. 🍕☕,hackathon,21-06-2025 21:45
199,Cheering on our team at the cricket finals. The crowd is electric! 🏏,sports_event,11-08-2025 10:48
200,Another great robotics workshop. My line-follower bot is almost ready! 🤖,workshop,07-08-2025 07:59
201,Just finished a fantastic workshop on ethical hacking. Feeling much more cyber-aware now.,workshop,17-08-2025 11:08
202,Feeling exhausted but happy after the hackathon. Learned so much in just 24 hours.,hackathon,01-08-2025 22:41
203,Learning Python with pandas and matplotlib at the data science workshop. So many possibilities! #DataScience,workshop,18-07-2025 16:26
204,Soaking in the vibrant atmosphere at the cultural fest! The art and music are amazing. #CulturalFest,cultural_fest,18-08-2025 05:30
205,Attending an AI and ML workshop today. The hands-on labs are so helpful.,workshop,02-09-2025 23:43
206,It's Sports Day! Watching the track and field events now.,sports_event,29-07-2025 08:19
207,The annual swimming gala is next week. Time to hit the pool!,sports_event,14-08-2025 09:35
208,Attending an AI and ML workshop today. The hands-on labs are so helpful.,workshop,23-06-2025 02:04
209,Feeling exhausted but happy after the hackathon. Learned so much in just 24 hours.,hackathon,07-07-2025 08:07
210,Attending a guest lecture on space exploration today. Mind blown! 🚀,other_event,04-07-2025 13:54
211,Cheering on our team at the cricket finals. The crowd is electric! 🏏,sports_event,24-07-2025 05:18
212,Ready for the live music concert tonight at the fest! 🎸 #MusicNight,cultural_fest,27-07-2025 09:58
213,Attending a guest lecture on space exploration today. Mind blown! 🚀,other_event,07-07-2025 20:32
214,The annual swimming gala is next week. Time to hit the pool!,sports_event,07-08-2025 18:38
215,Another great robotics workshop. My line-follower bot is almost ready! 🤖,workshop,08-08-2025 16:26
216,Excited for the startup pitching competition. So many innovative ideas!,other_event,31-07-2025 23:10
217,Day two of the Cultural Fest is in full swing! Loved the dance performances this morning.,cultural_fest,21-07-2025 21:32
218,Went to the film festival. The short films were incredibly creative.,other_event,29-07-2025 17:17
219,Went to the film festival. The short films were incredibly creative.,other_event,07-09-2025 17:09
220,The cultural parade was spectacular! So many beautiful traditional costumes.,cultural_fest,18-07-2025 17:30
221,Feeling exhausted but happy after the hackathon. Learned so much in just 24 hours.,hackathon,03-08-2025 13:18
222,Problem statements for the hackathon are out. Time to start brainstorming!,hackathon,24-07-2025 02:52
223,It's Sports Day! Watching the track and field events now.,sports_event,21-07-2025 14:12
224,Day two of the Cultural Fest is in full swing! Loved the dance performances this morning.,cultural_fest,10-09-2025 10:00
225,Pulling an all-nighter for the hackathon. Let's build something awesome! #CodeLife,hackathon,28-07-2025 09:23
226,Problem statements for the hackathon are out. Time to start brainstorming!,hackathon,05-09-2025 23:52
227,The food stalls at the cultural fest are a must-try! 🌮🍣 #Foodie,cultural_fest,14-08-2025 20:25
228,The annual job fair is happening today. Networking with some great companies!,other_event,30-06-2025 00:55
229,Attending an AI and ML workshop today. The hands-on labs are so helpful.,workshop,24-06-2025 10:01
230,And the winners of the hackathon are announced! Congrats to all the participants.,hackathon,05-08-2025 12:40
231,The annual job fair is happening today. Networking with some great companies!,other_event,29-07-2025 14:51
232,The hackathon is on! My team is fueled by pizza and coffee. 🍕☕,hackathon,25-08-2025 15:59
233,Another great robotics workshop. My line-follower bot is almost ready! 🤖,workshop,14-08-2025 05:22
234,It's Sports Day! Watching the track and field events now.,sports_event,01-09-2025 06:19
235,Cheering on our team at the cricket finals. The crowd is electric! 🏏,sports_event,16-09-2025 19:55
236,The hackathon is on! My team is fueled by pizza and coffee. 🍕☕,hackathon,04-09-2025 10:19
237,"Our basketball team made it to the regional finals! Let's go, MIT!",sports_event,05-09-2025 03:51
238,Feeling exhausted but happy after the hackathon. Learned so much in just 24 hours.,hackathon,09-09-2025 17:20
239,The cultural parade was spectacular! So many beautiful traditional costumes.,cultural_fest,28-08-2025 22:52
240,Day two of the Cultural Fest is in full swing! Loved the dance performances this morning.,cultural_fest,13-09-2025 12:30
241,Attending an AI and ML workshop today. The hands-on labs are so helpful.,workshop,08-07-2025 09:16
242,The food stalls at the cultural fest are a must-try! 🌮🍣 #Foodie,cultural_fest,30-06-2025 00:21
243,Learning Python with pandas and matplotlib at the data science workshop. So many possibilities! #DataScience,workshop,30-06-2025 17:42
244,The annual swimming gala is next week. Time to hit the pool!,sports_event,04-09-2025 17:59
245,The UI/UX design workshop was a game-changer. Finally understand wireframing.,workshop,31-07-2025 01:22
246,The annual job fair is happening today. Networking with some great companies!,other_event,30-07-2025 20:48
247,The food stalls at the cultural fest are a must-try! 🌮🍣 #Foodie,cultural_fest,04-08-2025 12:06
248,Open mic night tonight at the campus cafe. Time to listen to some new talent.,other_event,02-07-2025 20:17
249,Feeling exhausted but happy after the hackathon. Learned so much in just 24 hours.,hackathon,22-08-2025 08:40
250,The UI/UX design workshop was a game-changer. Finally understand wireframing.,workshop,04-09-2025 09:50
251,The hackathon is on! My team is fueled by pizza and coffee. 🍕☕,hackathon,06-09-2025 04:29
252,MIT's football team won the final! What a nail-biter of a match. ⚽,sports_event,24-07-2025 02:27
253,Super excited for the new 'Introduction to Quantum Computing' workshop next week!,workshop,02-08-2025 06:20
254,Went to the film festival. The short films were incredibly creative.,other_event,20-07-2025 21:41
255,MIT's football team won the final! What a nail-biter of a match. ⚽,sports_event,27-06-2025 06:37
256,Attending an AI and ML workshop today. The hands-on labs are so helpful.,workshop,07-07-2025 21:09
257,The annual swimming gala is next week. Time to hit the pool!,sports_event,31-08-2025 01:28
258,Attending a guest lecture on space exploration today. Mind blown! 🚀,other_event,15-08-2025 13:24
259,Feeling exhausted but happy after the hackathon. Learned so much in just 24 hours.,hackathon,03-09-2025 12:30
260,Soaking in the vibrant atmosphere at the cultural fest! The art and music are amazing. #CulturalFest,cultural_fest,31-07-2025 05:48
261,Feeling exhausted but happy after the hackathon. Learned so much in just 24 hours.,hackathon,09-08-2025 21:35
262,"Our basketball team made it to the regional finals! Let's go, MIT!",sports_event,25-06-2025 09:46
263,The UI/UX design workshop was a game-changer. Finally understand wireframing.,workshop,03-07-2025 19:13
264,The annual swimming gala is next week. Time to hit the pool!,sports_event,09-07-2025 04:58
265,Problem statements for the hackathon are out. Time to start brainstorming!,hackathon,29-07-2025 17:17
266,"Our basketball team made it to the regional finals! Let's go, MIT!",sports_event,30-08-2025 04:01
267,The hackathon is on! My team is fueled by pizza and coffee. 🍕☕,hackathon,19-08-2025 05:28
268,The hackathon is on! My team is fueled by pizza and coffee. 🍕☕,hackathon,28-07-2025 18:25
269,The UI/UX design workshop was a game-changer. Finally understand wireframing.,workshop,10-09-2025 12:54
270,Attending an AI and ML workshop today. The hands-on labs are so helpful.,workshop,25-08-2025 11:47
271,Learning Python with pandas and matplotlib at the data science workshop. So many possibilities! #DataScience,workshop,25-07-2025 03:27
272,Attending a guest lecture on space exploration today. Mind blown! 🚀,other_event,18-08-2025 09:08
273,The annual job fair is happening today. Networking with some great companies!,other_event,08-09-2025 05:26
274,"Closing ceremony tonight, what an incredible week it's been! #MITFest",cultural_fest,15-07-2025 17:42
275,Soaking in the vibrant atmosphere at the cultural fest! The art and music are amazing. #CulturalFest,cultural_fest,21-07-2025 19:18
276,The annual job fair is happening today. Networking with some great companies!,other_event,24-06-2025 11:13
277,The annual swimming gala is next week. Time to hit the pool!,sports_event,23-08-2025 00:25
278,Went to the film festival. The short films were incredibly creative.,other_event,24-07-2025 17:22
279,"Closing ceremony tonight, what an incredible week it's been! #MITFest",cultural_fest,27-07-2025 17:57
280,Problem statements for the hackathon are out. Time to start brainstorming!,hackathon,02-09-2025 19:35
281,Just finished a fantastic workshop on ethical hacking. Feeling much more cyber-aware now.,workshop,01-09-2025 05:30
282,The annual job fair is happening today. Networking with some great companies!,other_event,09-07-2025 15:37
283,The cultural parade was spectacular! So many beautiful traditional costumes.,cultural_fest,01-08-2025 14:22
284,Super excited for the new 'Introduction to Quantum Computing' workshop next week!,workshop,07-08-2025 00:05
285,Super excited for the new 'Introduction to Quantum Computing' workshop next week!,workshop,09-07-2025 03:19
286,"Our basketball team made it to the regional finals! Let's go, MIT!",sports_event,23-08-2025 21:28
287,The annual swimming gala is next week. Time to hit the pool!,sports_event,08-07-2025 15:47
288,"Our basketball team made it to the regional finals! Let's go, MIT!",sports_event,01-09-2025 00:24
289,Attending an AI and ML workshop today. The hands-on labs are so helpful.,workshop,01-07-2025 08:09
290,The annual job fair is happening today. Networking with some great companies!,other_event,31-08-2025 00:30
291,Another great robotics workshop. My line-follower bot is almost ready! 🤖,workshop,04-09-2025 19:22
292,"Closing ceremony tonight, what an incredible week it's been! #MITFest",cultural_fest,21-07-2025 08:51
293,Went to the film festival. The short films were incredibly creative.,other_event,30-07-2025 22:43
294,The annual swimming gala is next week. Time to hit the pool!,sports_event,20-08-2025 10:02
295,Excited for the startup pitching competition. So many innovative ideas!,other_event,04-08-2025 18:01
296,Learning Python with pandas and matplotlib at the data science workshop. So many possibilities! #DataScience,workshop,05-08-2025 20:50
297,Attending a guest lecture on space exploration today. Mind blown! 🚀,other_event,30-07-2025 15:52
298,Attending an AI and ML workshop today. The hands-on labs are so helpful.,workshop,12-08-2025 03:56
299,The food stalls at the cultural fest are a must-try! 🌮🍣 #Foodie,cultural_fest,17-08-2025 18:06
300,Cheering on our team at the cricket finals. The crowd is electric! 🏏,sports_event,30-08-2025 22:45
301,Went to the film festival. The short films were incredibly creative.,other_event,21-08-2025 10:55
302,"Our basketball team made it to the regional finals! Let's go, MIT!",sports_event,16-09-2025 02:47
303,Went to the film festival. The short films were incredibly creative.,other_event,17-07-2025 02:41
